episode,reward,raw_reward,episode_length,epsilon,q_table_size,success,cumulative_successes,success_rate,moving_avg_reward,moving_avg_raw_reward,distance_to_faf,final_altitude,timestamp
1,-139.8433,-128.6071,293,0.998,25,0,0,0.0,-139.8433,-128.6071,67.1738,12707.01,2025-12-04T16:33:05.389314
2,-113.2187,-113.3097,136,0.996004,46,0,0,0.0,-126.531,-120.9584,50.4803,10066.94,2025-12-04T16:33:19.076644
3,-113.5232,-111.2025,114,0.994012,48,0,0,0.0,-122.1951,-117.7064,51.9345,10750.15,2025-12-04T16:33:30.551985
4,-115.7231,-117.335,176,0.992024,72,0,0,0.0,-120.5771,-117.6136,51.6334,6268.62,2025-12-04T16:33:48.276965
5,-116.1179,-111.891,122,0.99004,77,0,0,0.0,-119.6853,-116.4691,55.2183,7401.74,2025-12-04T16:34:00.562156
6,-105.4602,-103.293,33,0.98806,80,0,0,0.0,-117.3144,-114.273,50.4361,9880.87,2025-12-04T16:34:03.880628
7,-47.1873,-48.7006,500,0.986084,116,0,0,0.0,-107.2963,-104.9055,49.1559,6271.1,2025-12-04T16:34:54.173815
8,-53.342,-49.4043,500,0.984112,161,0,0,0.0,-100.552,-97.9679,54.1052,12382.5,2025-12-04T16:35:44.683409
9,-27.4617,-49.1454,500,0.982143,189,0,0,0.0,-92.4308,-92.5432,8.8904,9846.23,2025-12-04T16:36:34.980562
10,-111.0024,-107.646,79,0.980179,190,0,0,0.0,-94.288,-94.0535,61.2495,10673.84,2025-12-04T16:36:42.941915
11,-127.5031,-124.0128,241,0.978219,190,0,0,0.0,-97.3076,-96.777,50.4708,14000.0,2025-12-04T16:37:07.179414
12,-129.8266,-121.524,229,0.976262,216,0,0,0.0,-100.0175,-98.8393,58.8339,13083.31,2025-12-04T16:37:30.195959
